id,eng_track_title,mood/0,mood/1,mood/2,mood/3,mood/4,mood/5
0,Intro: 2 Cool 4 Skool (ft. DJ Friz),Energetic,Powerful,,,,
1,We Are Bulletproof Pt.2,Energetic,Powerful,,,,
2,Skit: Circle Room Talk,Inspiring,,,,,
3,No More Dream,Powerful,Angry,,,,
4,Interlude,Powerful,,,,,
5,I Like It,Chill,Falling In Love,,,,
6,Outro: Circle Room Cypher,Energetic,Chill,,,,
7,Skit: On The Start Line,Inspiring,,,,,
8,Road/Path,Healing,,,,,
9,"Intro: O!RUL8,2?",Energetic,Powerful,,,,
10,N.O,Energetic,Powerful,,,,
11,We On,Energetic,Powerful,Angry,,,
12,Skit: R U Happy Now?,Inspiring,Chill,,,,
13,If I Ruled the World,Chill,Happy,,,,
14,Coffee,Healing,Falling In Love,,,,
15,BTS Cypher Pt.1,Energetic,Powerful,Angry,,,
16,Attack on Bangtan/The Rise of Bangtan,Energetic,Happy,,,,
17,Paldogangsan (Satoori Rap),Energetic,Happy,,,,
18,OUTRO: LUV IN SKOOL,Falling In Love,Healing,,,,
19,Intro: Skool Luv Affair,Happy,Chill,Energetic,,,
20,Boy in Luv,Powerful,Energetic,,,,
21,Skit: Soulmate,Happy,Chill,,,,
22,Where Did You Come From,Falling In Love,Happy,Energetic,,,
23,Just One Day,Falling In Love,Healing,,,,
24,Tomorrow,Powerful,Inspiring,Healing,,,
25,BTS Cypher PT. 2 : Triptych,Powerful,Angry,,,,
26,Spine Breaker,Healing,Happy,,,,
27,JUMP,Energetic,Happy,,,,
28,Outro: Propose,Happy,Falling In Love,,,,
29,Miss Right,Healing,Happy,Falling In Love,,,
30,I Like It (Slow Jam Remix),Chill,Falling In Love,,,,
31,Intro: Skool Luv Affair,Happy,Chill,Energetic,,,
32,Intro: What Am I to You?,Energetic,,,,,
33,Danger,Powerful,Energetic,,,,
34,War of Hormone,Happy,Powerful,Energetic,,,
35,Hip Hop Lover/Phile,Energetic,Angry,,,,
36,Let Me Know,Healing,Inspiring,,,,
37,Rain,Chill,,,,,
38,Cypher Pt. 3: Killer  (Ft._Supreme_Boi),Energetic,Powerful,Angry,,,
39,Interlude: What Are You Doing Now,Chill,,,,,
40,Could You Turn Off Your Cell Phone?,Chill,Happy,,,,
41,Blanket Kick/Embarrassed,Falling In Love,Healing,,,,
42,24/7=Heaven ,Falling In Love,Happy,,,,
43,Look Here,Chill,Happy,Energetic,,,
44,Second Grade/So 4 More,Powerful,Energetic,,,,
45,Outro: Do You Think It Makes Sense?,Healing,,,,,
46,Intro: The Most Beautiful Moment In Life,Powerful,Inspiring,,,,
47,I NEED U,Falling In Love,Sad,,,,
48,Hold Me Tight,Falling In Love,Sad,,,,
49,Skit: Expectation!,Inspiring,,,,,
50,DOPE,Energetic,Happy,,,,
51,Boyz With Fun,Energetic,Happy,,,,
52,Converse High,Healing,Happy,,,,
53,Moving On,Inspiring,Healing,,,,
54,Outro: Love is Not Over,Falling In Love,Healing,,,,
55,INTRO : Never Mind,Inspiring,Powerful,,,,
56,Run,Powerful,Sad,,,,
57,Butterfly,Healing,Sad,,,,
58,Whalien 52,Healing,Inspiring,,,,
59,Ma City,Energetic,Happy,,,,
60,Silver Spoon/Baepsae,Energetic,Chill,Happy,,,
61,Skit: One Night in a Strange City,Inspiring,,,,,
62,Autumn Leaves/Dead Leaves,Falling In Love,Healing,,,,
63,Outro: House of Cards,Sad,Healing,,,,
64,Butterfly (Prologue Mix),Healing,Sad,,,,
65,Fire,Energetic,Powerful,,,,
66,Save Me,Powerful,Sad,,,,
67,Epilogue: Young Forever,Healing,Powerful,Inspiring,,,
68,I NEED U (Urban Mix),Falling In Love,Sad,,,,
69,I NEED U (Remix),Falling In Love,Sad,Energetic,,,
70,Run (Ballad Mix),Falling In Love,Sad,Chill,,,
71,Run (Alternative Mix),Falling In Love,Sad,,,,
72,Butterfly (Alternative Mix),Healing,Sad,,,,
73,Intro: Boy Meets Evil,Powerful,Angry,,,,
74,"Blood, Sweat & Tears",Powerful,Inspiring,,,,
75,Begin,Chill,Inspiring,,,,
76,Lie,Powerful,Sad,,,,
77,Stigma,Sad,,,,,
78,First Love,Angry,Powerful,,,,
79,Reflection,Inspiring,Chill,,,,
80,MAMA,Happy,Inspiring,Energetic,,,
81,Awake,Healing,Sad,Inspiring,,,
82,Lost,Energetic,Inspiring,,,,
83,BTS Cypher 4,Powerful,Angry,,,,
84,Am I Wrong,Chill,Energetic,,,,
85,21st Century Girl,Chill,Happy,Energetic,,,
86,2! 3! (Still Wishing For More Good Days),Healing,Inspiring,Sad,,,
87,Interlude: Wings,Energetic,Inspiring,Happy,,,
88,Spring Day,Healing,Inspiring,Chill,Sad,,
89,Not Today,Powerful,Angry,Energetic,,,
90,Outro: Wings,Energetic,Chill,,,,
91,A Supplementary Story: You Never Walk Alone,Healing,Inspiring,Powerful,,,
92,Intro: Serendipity,Falling In Love,Healing,Chill,,,
93,DNA,Falling In Love,Energetic,Happy,,,
94,Best of Me,Energetic,Inspiring,Happy,,,
95,Dimple,Chill,Falling In Love,,,,
96,Pied Piper,Energetic,Falling In Love,,,,
97,Skit: Billboard Music Awards Speech,Inspiring,,,,,
98,MIC Drop,Angry,Powerful,Energetic,,,
99,Go Go,Energetic,Inspiring,Chill,,,
100,Outro: Her,Sad,Energetic,Chill,,,
101,Skit: Hesitation and Fear,Inspiring,,,,,
102,Sea,Healing,Happy,Sad,,,
103,Intro: Singularity,Chill,Sad,,,,
104,Fake Love,Sad,Angry,,,,
105,The Truth Untold,Sad,Inspiring,,,,
106,134340,Chill,Sad,,,,
107,Paradise,Chill,Happy,,,,
108,Love Maze,Falling In Love,Happy,Chill,,,
109,Magic Shop,Falling In Love,Happy,Chill,Inspiring,Healing,
110,Airplane pt.2,Energetic,Happy,,,,
111,Anpanman,Happy,Energetic,Falling In Love,,,
112,So What,Energetic,Happy,Chill,Inspiring,,
113,Outro: Tear,Powerful,Sad,,,,
114,Love Yourself: Answer Notes,,,,,,
115,Euphoria,Healing,Chill,Falling In Love,,,
116,Trivia: Just Dance,Happy,Energetic,,,,
117,Serendipity (Full Length Edition),Healing,Chill,Falling In Love,,,
118,DNA,Energetic,Happy,Falling In Love,,,
119,Dimple,Falling In Love,Happy,Chill,,,
120,Trivia: Love,Chill,Falling In Love,Happy,Energetic,,
121,Her,Falling In Love,Happy,Chill,,,
122,Singularity,Chill,Sad,,,,
123,Fake Love,Sad,Angry,,,,
124,The Truth Untold,Sad,Inspiring,,,,
125,Trivia: Seesaw,Sad,Chill,,,,
126,Tear,Powerful,Sad,,,,
127,Epiphany,Inspiring,Chill,Healing,,,
128,I'm Fine,Sad,Powerful,,,,
129,IDOL,Powerful,Angry,Energetic,,,
130,Answer: Love Myself,Falling In Love,Happy,Chill,Inspiring,Healing,
131,Magic Shop,Falling In Love,Happy,Chill,Inspiring,Healing,
132,Best of Me,Energetic,Inspiring,Falling In Love,,,
133,Airplane pt.2 ,Energetic,Happy,,,,
134,Go Go,Energetic,Happy,,,,
135,Anpanman,Happy,Energetic,Falling In Love,,,
136,MIC Drop,Powerful,Angry,Energetic,,,
137,DNA (Pedal 2 LA Mix),Energetic,Happy,Falling In Love,,,
138,FAKE LOVE (Rocking Vibe Mix),Sad,Angry,,,,
139,MIC Drop (Steve Aoki Remix),Powerful,Angry,Energetic,,,
140,IDOL (Remix) ft. Nicki Minaj,Powerful,Angry,Energetic,,,
141,Intro: Persona,Falling In Love,Energetic,Powerful,,,
142,Boy With Luv ft. Halsey,Energetic,Happy,Falling In Love,,,
143,Mikrokosmos,Inspiring,Healing,Falling In Love,Happy,Chill,
144,Make It Right,Healing,Chill,Falling In Love,Happy,Inspiring,Healing
145,HOME,Chill,Inspiring,Falling In Love,,,
146,Jamais Vu,Sad,Chill,,,,
147,Dionysus,Energetic,Angry,Powerful,,,
148,Thanks To Notes,Inspiring,,,,,
149,Intro: Persona,Falling In Love,Energetic,Powerful,,,
150,Boy With Luv ft. Halsey,Energetic,Happy,Falling In Love,,,
151,Make It Right,Healing,Chill,Falling In Love,Happy,Inspiring,
152,Jamais Vu,Sad,Chill,,,,
153,Interlude: Shadow,Inspiring,Angry,,,,
154,Dionysus,Energetic,Angry,Powerful,,,
155,Black Swan,Healing,Sad,Inspiring,,,
156,Filter,Energetic,Falling In Love,,,,
157,My Time,Inspiring,Sad,,,,
158,Louder than bombs,Powerful,Sad,Healing,,,
159,ON,Energetic,Powerful,Angry,,,
160,UGH!,Powerful,Energetic,Angry,,,
161,00:00 (Zero O'Clock),Chill,Inspiring,Healing,Sad,,
162,Inner Child,Chill,Inspiring,Healing,,,
163,Friends,Energetic,Happy,Inspiring,Healing,,
164,Moon,Energetic,Happy,Inspiring,Falling In Love,Healing,
165,Respect,Energetic,Happy,Inspiring,,,
166,We Are Bulletproof: The Eternal,Healing,Sad,Inspiring,,,
167,Outro: Ego ,Energetic,Happy,,,,
168,ON (Remix) ft. Sia ,Energetic,Powerful,Angry,,,
169,Dynamite,Energetic,Happy,Healing,,,
170,Dynamite (Instrumental),Happy,Healing,,,,
171,Dynamite (Acoustic Remix),Happy,Healing,,,,
172,Dynamite (EDM Remix),Energetic,Happy,Healing,,,
173,Dynamite (Tropical Remix),Energetic,Happy,Healing,,,
174,Dynamite (Poolside Remix),Energetic,Happy,Healing,,,
175,Dynamite,Energetic,Happy,Healing,,,
176,Dynamite (Instrumental),Happy,Healing,,,,
177,Dynamite (Slow Jam Remix),Happy,Healing,,,,
178,Dynamite (Midnight Remix),Happy,Healing,,,,
179,Dynamite (Retro Remix),Energetic,Happy,Healing,,,
180,Dynamite (Bedroom Remix),Happy,Healing,,,,
181,Life Goes On,Healing,Inspiring,Chill,,,
182,Fly To My Room,Healing,Inspiring,Chill,,,
183,Blue & Grey,Healing,Sad,,,,
184,Skit,Healing,Inspiring,,,,
185,Telepathy,Energetic,Happy,Healing,,,
186,Dis-ease,Energetic,Happy,Healing,,,
187,Stay,Energetic,Happy,Healing,,,
188,Dynamite,Energetic,Happy,Healing,,,
189,Butter,Energetic,Happy,Healing,,,
190,Butter (Hotter Remix),Energetic,Happy,Healing,,,
191,Butter (Sweeter Remix),Energetic,Happy,Healing,,,
192,Butter (Cooler Remix),Energetic,Happy,Healing,,,
193,Butter (Instrumental),Energetic,Happy,Healing,,,
194,Permission to Dance,Energetic,Happy,Healing,,,
